,Building name,District,Last date of visitby any of theinvolved case(s),Related confirmed /probable cases,Related confirmed / probablecase number
1,Excelsior Court,Central & Western,,,555
2,Grand City Hotel,Central & Western,,,556
3,Dorsett Wanchai,Wan Chai,,,557
4,Dragons Range,Sha Tin,,,558
5,"Block A, The Dahfuldy",Kowloon City,,,559
6,Ramada Hong Kong Harbour View Hotel,Central & Western,,,560
7,Oceania Heights,Tuen Mun,,,561
8,"Block 4, Beverly Garden",Sai Kung,,,562
9,Fairview Height,Central & Western,,,563
10,"Block 2, Academic Terrace",Central & Western,,,564
11,"Block 2, The Castello",Sha Tin,,,565
12,32 Lyttelton Road,Central & Western,,,566
13,101 Ki Lung Street,Yau Tsim Mong,,,567
14,"Block 41, Heng Fa Chuen",Eastern,,,568
15,"Tower 10, La Splendeur Tower, Lohas Park",Sai Kung,,,569
16,"Block E, Galaxia",Wong Tai Sin,,,570
17,Pine Crest,Southern,,,571
18,"Block 1, Hong Lee Court",Kwun Tong,,,572
19,"Tower 5, Festival City II",Sha Tin,,,573
20,"Yee Yan House, Yee Ming Estate",Sai Kung,,,574
21,48 Kennedy Road,Central & Western,,,575
22,Golden Valley Mansion,Central & Western,,,576
23,Golden Valley Mansion,Central & Western,,,577
24,Golden Valley Mansion,Central & Western,,,578
25,Golden Valley Mansion,Central & Western,,,579
26,"Hing Shing House, Tai Hing Estate",Tuen Mun,,,580
27,"Siu Fu House, Siu Kwai Court",Tuen Mun,,,581
28,"Block 4, Provident Centre",Eastern,,,583
29,The Morgan,Central & Western,,,584
30,"Block B, Wing Tak Mansion",Wan Chai,,,585
0,"Block 1, Central Park",Yau Tsim Mong,,,586
1,Kong Ha Village,North,,,587
2,Kong Ha Village,North,,,588
3,The Park Lane,Wan Chai,,,589
4,"Block 1, Hong Lee Court",Kwun Tong,,,590
5,"Block 1, Sceneway Garden",Kwun Tong,,,591
6,"Block 3, Victoria Centre",Wan Chai,,,592
7,"Block 10, Grand Yoho",Yuen Long,,,593
8,Butterfly on Prat Boutique Hotel,Yau Tsim Mong,,,594
9,Monterey Villas,Islands,,,595
10,"Block 1, Chestwood Court, Kingswood Villas",Yuen Long,,,596
11,Dorsett Kwun Tong,Kwun Tong,,,597
12,"Block 8, City One Shatin",Sha Tin,,,598
13,"Cheung Tak House, Cheung Wah Estate",North,,,599
14,"Tower 7, Le Prime, Lohas Park",Sai Kung,,,600
15,Novotel Century Hong Kong Hotel,Wan Chai,,,601
